essay_id,prompt_name,predicted,holistic_score,prompt_id,src
305a4e4,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
312bef6,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
3154945,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
318dac4,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
318ff17,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
34e8646,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
3654052,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
36ac515,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
36f1f67,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
3743779,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
3745735,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
3748b23,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
378b941,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
3832cfe,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
39a6d61,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
3a31b70,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
3ce7d44,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
3e92243,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
3ffd355,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
4105c60,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
428a9b9,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
44bde0e,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
4509c10,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
45a5be8,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
47225d8,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
47b0dbe,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
4803882,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
488a448,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
48ff14c,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
49b3030,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
4a0bbf4,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
4a210f9,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
4a3eac2,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
4ad512b,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
4aea2ed,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
4af77e9,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
4c1b568,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
4c2c258,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
4e22166,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
4e5f9f7,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
4eb357c,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
4fc29eb,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
5083ea0,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
5413de8,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
54d39cc,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
54f2887,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
554ae4e,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
5661a04,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
577ff61,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
5801bab,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
5912bde,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
592eec0,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
5a87202,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
5ae6fe3,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
5aed1c1,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
5bc33ea,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
5c267f8,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
5cefbf4,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
5d0602f,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
5fbd61b,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
61c5216,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
61efac6,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
62502f1,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
63899c4,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
638b1ef,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
638d207,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
6432cad,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
643ef90,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
6514350,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
65a47e3,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
6611c2f,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
668e9d1,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
6a0460e,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
6bd20d5,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
6c9f26e,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
6ccda33,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
6df56fa,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
7057eb6,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
708eea4,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
7090f87,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
719648c,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
752b719,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
757a6c3,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
768dd33,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
775ec96,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
77b5b31,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
7815231,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
7837555,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
7895e92,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
795b70b,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
7a1ec62,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
7cc82fb,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
7cde36a,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
7d1da31,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
7deac98,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
7e2f7ab,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
7e7ed1d,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
7f0e5fd,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
7f21cc4,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
800225b,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
808e21c,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
824e4ae,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
82dcd90,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
84e4ecf,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
86f19d9,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
87dfa93,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
883a718,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
88a671e,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
89bcb5b,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
8be1cc9,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
8cc3b1e,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
8f5a33a,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
8fba769,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
8ff090e,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
903f1ba,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
907365b,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
91808c5,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
91b2f7f,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
9371007,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
94f5165,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
96c09c8,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
97692d2,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
97ba927,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
9805788,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
9898612,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
99cacc1,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
9c048c8,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
9f6d671,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
9f8335a,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
a068742,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
a09fa5a,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
a1cde0f,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
a22e219,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
a257c6b,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
a3f2c8f,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
a63a502,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
a7b81d5,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
a7bbe08,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
aa66e68,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
afb25f6,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
b033285,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
b0b21a6,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
b0d37fa,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
b1612e0,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
b247721,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
b30add3,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
b49dc5f,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
b4b9ff0,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
b580903,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
b77f90b,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
b888c7c,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
b95f77e,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
ba95cd3,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
bbf3192,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
bcaeafd,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
bce730f,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
bd0afc4,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
bda130b,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
bf90e0a,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
c163697,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
c1f420e,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
c3c5c1c,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
c4b4df0,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
c5bc641,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
c5fc2d8,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
c7b6de6,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
c7ed399,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
c8ced2c,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
c8d2ca0,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
c97615c,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
cc12684,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
cc30810,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
cd6586d,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
cda556e,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
cf741b4,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
cff70d1,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
d1c17f7,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
d2a690d,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
d51b27c,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
d52eef1,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
d61e1f2,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
d66cdbe,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
d7b6d6c,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
d80564c,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
d85ca40,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
d88e664,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
da3c348,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
db5bba2,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
dba5c50,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
dba8941,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
de3c518,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
decd887,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
e05acf3,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
e0f2b3c,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
e22df36,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
e2b69b6,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
e3a9afd,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
e42ebd1,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
e4b94b2,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
e4cd5f0,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
e51bf95,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
e54748b,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
e8faa39,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
e950fce,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
e9be80d,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
eb3d3d6,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
eb6d8fc,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
ec228d8,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
ec74743,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
ec9466b,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
ed619fc,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
edd6430,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
ef6aca8,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
f006607,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
f084460,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
f11dbe5,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
f16643f,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
f24da7f,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
f3d1bdb,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
f4b6426,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
f6173a5,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
f666b1d,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
f72f3fe,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
f7c3c56,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
f8cc34f,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
f973c05,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
f99ebf4,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
fb768c2,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
fcf5ee8,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
ffcb061,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
5691a11,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
200f74f,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
aab55ee,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
7a94c66,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
5d48d77,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
471cd36,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
0967e3f,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
bd7fb96,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
bce4b7f,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
218d0ed,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
2975d96,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
189e376,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
457a644,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
f787aa6,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
85225fe,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
29fe49b,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
4204a15,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
4864ed5,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
8a9d6ce,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
a90cacb,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
08e2ae1,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
cf89e5a,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
75e8016,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
079a340,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
929161a,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
64ac47d,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
3f46dfc,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
3167320,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
2abd742,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
21ea962,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
18acc14,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
5eb33fc,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
6d7e9e0,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
88a7b3e,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
b9e2f51,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
375c9a7,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
b5cc81e,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
58c1aed,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
3d186cc,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
8e57d69,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
d82df10,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
bed3294,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
0e47da5,Car-free cities,True,3,1,kaggle-only
232ae04,Car-free cities,True,3,1,kaggle-only
8104655,Car-free cities,True,2,1,kaggle-only
8423e55,Car-free cities,True,2,1,kaggle-only
9f5396a,Car-free cities,True,2,1,kaggle-only
b44e1e5,Car-free cities,True,1,1,kaggle-only
e45d84b,Car-free cities,True,2,1,kaggle-only
964c2c6,Car-free cities,False,2,1,kaggle-persuade
2807acf,Car-free cities,False,3,1,kaggle-persuade
0d96a6c,Car-free cities,False,2,1,kaggle-persuade
2be103b,Car-free cities,False,4,1,kaggle-persuade
827c372,Car-free cities,False,4,1,kaggle-persuade
e4a6768,Car-free cities,False,3,1,kaggle-persuade
a17c573,Car-free cities,False,2,1,kaggle-persuade
562b33a,Car-free cities,False,3,1,kaggle-persuade
65b50a1,Car-free cities,False,1,1,kaggle-persuade
da7968c,Car-free cities,False,3,1,kaggle-persuade
9b852ba,Car-free cities,False,2,1,kaggle-persuade
2e443f0,Car-free cities,False,3,1,kaggle-persuade
f0d879d,Car-free cities,False,4,1,kaggle-persuade
80d54a1,Car-free cities,False,4,1,kaggle-persuade
8be9ba7,Car-free cities,False,3,1,kaggle-persuade
e7457b9,Car-free cities,False,5,1,kaggle-persuade
e5c3b9b,Car-free cities,False,2,1,kaggle-persuade
cdb8686,Car-free cities,False,3,1,kaggle-persuade
fd6d95a,Car-free cities,False,3,1,kaggle-persuade
ec43b08,Car-free cities,False,5,1,kaggle-persuade
8a469e5,Car-free cities,False,2,1,kaggle-persuade
dce42d4,Car-free cities,False,2,1,kaggle-persuade
de18382,Car-free cities,False,3,1,kaggle-persuade
fe0dc2e,Car-free cities,False,4,1,kaggle-persuade
19d3181,Car-free cities,False,1,1,kaggle-persuade
bc2c839,Car-free cities,False,3,1,kaggle-persuade
e81bc41,Car-free cities,False,3,1,kaggle-persuade
4c3e6ba,Car-free cities,False,4,1,kaggle-persuade
a13314c,Car-free cities,False,3,1,kaggle-persuade
e44552c,Car-free cities,False,4,1,kaggle-persuade
efe5189,Car-free cities,False,5,1,kaggle-persuade
9885293,Car-free cities,False,4,1,kaggle-persuade
056a4a4,Car-free cities,False,4,1,kaggle-persuade
2baa048,Driverless cars,True,3,3,kaggle-only
c164c8d,Driverless cars,True,3,3,kaggle-only
70bb147,Driverless cars,True,3,3,kaggle-only
c61cc1b,Driverless cars,True,3,3,kaggle-only
3241fbf,Driverless cars,True,4,3,kaggle-only
50c9675,Driverless cars,True,4,3,kaggle-only
19676b0,Driverless cars,True,4,3,kaggle-only
72c20d3,Driverless cars,True,3,3,kaggle-only
752878d,Driverless cars,True,4,3,kaggle-only
4667092,Driverless cars,True,3,3,kaggle-only
da302f5,Driverless cars,True,3,3,kaggle-only
d4fcd5c,Driverless cars,True,3,3,kaggle-only
a19d424,Driverless cars,True,4,3,kaggle-only
295f8ea,Driverless cars,True,2,3,kaggle-only
410ce9c,Driverless cars,True,3,3,kaggle-only
5057e4f,Driverless cars,True,2,3,kaggle-only
5cc4dcc,Driverless cars,True,4,3,kaggle-only
32090e3,Driverless cars,True,2,3,kaggle-only
eee709e,Driverless cars,True,4,3,kaggle-only
dff9ecc,Driverless cars,True,3,3,kaggle-only
1b2c90e,Driverless cars,True,3,3,kaggle-only
53b8c98,Driverless cars,True,4,3,kaggle-only
ceead0f,Driverless cars,True,4,3,kaggle-only
1bac87b,Driverless cars,True,4,3,kaggle-only
4b35d62,Driverless cars,True,3,3,kaggle-only
